"Periodo","cvegeo","Desglose","Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_(Entidad_federativa)",
"2022",	00,"Estados Unidos Mexicanos","16.234029047",
"2022",	01,"Aguascalientes","15.1666439775121",
"2022",	02,"Baja California","8.8345414167124",
"2022",	03,"Baja California Sur","13.6744121922202",
"2022",	04,"Campeche","20.0404406813897",
"2022",	05,"Coahuila de Zaragoza","12.5805192091245",
"2022",	06,"Colima","13.2552827474567",
"2022",	07,"Chiapas","17.2168777336951",
"2022",	08,"Chihuahua","9.3421964953566",
"2022",	09,"Ciudad de México","9.7126027821565",
"2022",	10,"Durango","19.7799310143671",
"2022",	11,"Guanajuato","17.2338301071233",
"2022",	12,"Guerrero","28.4488600072204",
"2022",	13,"Hidalgo","15.1728910835268",
"2022",	14,"Jalisco","13.2226577272659",
"2022",	15,"México","16.9896385789909",
"2022",	16,"Michoacán de Ocampo","20.9462317819337",
"2022",	17,"Morelos","17.6354127327451",
"2022",	18,"Nayarit","16.6292371672552",
"2022",	19,"Nuevo León","10.952650024786",
"2022",	20,"Oaxaca","23.1039754308299",
"2022",	21,"Puebla","19.1267233254656",
"2022",	22,"Querétaro","11.3661958228964",
"2022",	23,"Quintana Roo","12.6952347616338",
"2022",	24,"San Luis Potosí","13.1897513309372",
"2022",	25,"Sinaloa","17.1124826866386",
"2022",	26,"Sonora","19.2267179524126",
"2022",	27,"Tabasco","34.3751253958414",
"2022",	28,"Tamaulipas","12.1552970169978",
"2022",	29,"Tlaxcala","18.7367846568498",
"2022",	30,"Veracruz de Ignacio de la Llave","19.849950542521",
"2022",	31,"Yucatán","13.5699637592156",
"2022",	32,"Zacatecas","15.7242173505075",
"2020",	00,"Estados Unidos Mexicanos","20.743959207",
"2020",	01,"Aguascalientes","17.4527286220485",
"2020",	02,"Baja California","12.6637051383433",
"2020",	03,"Baja California Sur","22.7105109386254",
"2020",	04,"Campeche","24.5257219159219",
"2020",	05,"Coahuila de Zaragoza","15.2175277597197",
"2020",	06,"Colima","16.5995623811151",
