"Periodo","cvegeo","Desglose","Proporción_de_la_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_(Municipio_o_demarcación_territorial)",
"2020",	00,"Estados Unidos Mexicanos","NA",
"2020",	01,"Aguascalientes","NA",
"2020",	01001,"Aguascalientes","15.7702287046",
"2020",	01002,"Asientos","28.5186911445",
"2020",	01003,"Calvillo","20.1456623364",
"2020",	01004,"Cosío","24.9682356597",
"2020",	01005,"Jesús María","17.931114145",
"2020",	01006,"Pabellón de Arteaga","16.6314996352",
"2020",	01007,"Rincón de Romos","23.8188978001",
"2020",	01008,"San José de Gracia","10.5087969567",
"2020",	01009,"Tepezalá","21.878359902",
"2020",	01010,"El Llano","24.399683998",
"2020",	01011,"San Francisco de los Romo","21.1912248573",
"2020",	02,"Baja California","NA",
"2020",	02001,"Ensenada","12.47068117",
"2020",	02002,"Mexicali","10.725499836",
"2020",	02003,"Tecate","11.0103124107",
"2020",	02004,"Tijuana","13.5549648934",
"2020",	02005,"Playas de Rosarito","9.8380601025",
"2020",	02006,"San Quintín","20.5145236688",
"2020",	03,"Baja California Sur","NA",
"2020",	03001,"Comondú","24.1745925084",
"2020",	03002,"Mulegé","15.5619306607",
"2020",	03003,"La Paz","22.6462330312",
"2020",	03008,"Los Cabos","23.8283068849",
"2020",	03009,"Loreto","21.2487484125",
"2020",	04,"Campeche","NA",
"2020",	04001,"Calkiní","26.9885674104",
"2020",	04002,"Campeche","19.3582466791",
"2020",	04003,"Carmen","27.7838853289",
"2020",	04004,"Champotón","28.3845922107",
"2020",	04005,"Hecelchakán","26.5247096729",
"2020",	04006,"Hopelchén","16.0043638405",
"2020",	04007,"Palizada","15.9551374819",
"2020",	04008,"Tenabo","28.0391956428",
"2020",	04009,"Escárcega","25.3120849841",
"2020",	04010,"Calakmul","35.1884385748",
"2020",	04011,"Candelaria","27.6962320388",
"2020",	04012,"Seybaplaya","ND",
"2020",	04013,"Dzitbalché","NA",
"2020",	05,"Coahuila de Zaragoza","NA",
"2020",	05001,"Abasolo","6.2437059416",
"2020",	05002,"Acuña","15.0062634075",
"2020",	05003,"Allende","7.5681063457",
"2020",	05004,"Arteaga","18.1047451036",
"2020",	05005,"Candela","21.7034700315",
"2020",	05006,"Castaños","13.5971755733",
"2020",	05007,"Cuatro Ciénegas","13.8051860853",
"2020",	05008,"Escobedo","23.7888406281",
"2020",	05009,"Francisco I. Madero","29.9451463304",
"2020",	05010,"Frontera","13.849241965",
"2020",	05011,"General Cepeda","14.4624673547",
"2020",	05012,"Guerrero","36.6984126984",
"2020",	05013,"Hidalgo","41.3561392792",
"2020",	05014,"Jiménez","31.221568845",
"2020",	05015,"Juárez","12.1665582303",
"2020",	05016,"Lamadrid","5.7464454976",
"2020",	05017,"Matamoros","24.9249792515",
"2020",	05018,"Monclova","17.8936051933",
"2020",	05019,"Morelos","15.4817708333",
"2020",	05020,"Múzquiz","17.4352388332",
"2020",	05021,"Nadadores","8.0889461811",
"2020",	05022,"Nava","9.9824638974",
"2020",	05023,"Ocampo","35.3632013919",
"2020",	05024,"Parras","20.836214216",
"2020",	05025,"Piedras Negras","14.4363772156",
"2020",	05026,"Progreso","30.303030303",
"2020",	05027,"Ramos Arizpe","11.1307007593",
"2020",	05028,"Sabinas","9.9728094752",
"2020",	05029,"Sacramento","11.652173913",
"2020",	05030,"Saltillo","11.1069237282",
"2020",	05031,"San Buenaventura","11.8657244897",
"2020",	05032,"San Juan de Sabinas","7.7002729392",
"2020",	05033,"San Pedro","29.3148551915",
"2020",	05034,"Sierra Mojada","12.942109437",
"2020",	05035,"Torreón","15.0176520324",
"2020",	05036,"Viesca","33.660480911",
"2020",	05037,"Villa Unión","9.8964326812",
"2020",	05038,"Zaragoza","24.4161594304",
"2020",	06,"Colima","NA",
"2020",	06001,"Armería","23.2048665735",
"2020",	06002,"Colima","17.1684029121",
"2020",	06003,"Comala","20.6704351749",
"2020",	06004,"Coquimatlán","19.9953221699",
"2020",	06005,"Cuauhtémoc","15.9800949865",
"2020",	06006,"Ixtlahuacán","21.1545421643",
"2020",	06007,"Manzanillo","11.2382550396",
"2020",	06008,"Minatitlán","17.5388924017",
"2020",	06009,"Tecomán","26.3424760759",
"2020",	06010,"Villa de Álvarez","13.0605277241",
"2020",	07,"Chiapas","NA",
"2020",	07001,"Acacoyagua","18.0697443329",
"2020",	07002,"Acala","31.2743587633",
"2020",	07003,"Acapetahua","15.129268837",
"2020",	07004,"Altamirano","20.3818376636",
"2020",	07005,"Amatán","14.8047833551",
"2020",	07006,"Amatenango de la Frontera","11.683093537",
"2020",	07007,"Amatenango del Valle","4.2596892302",
"2020",	07008,"Angel Albino Corzo","15.7206724826",
"2020",	07009,"Arriaga","34.9360232483",
"2020",	07010,"Bejucal de Ocampo","2.5766871166",
"2020",	07011,"Bella Vista","16.0996833568",
"2020",	07012,"Berriozábal","18.974855361",
"2020",	07013,"Bochil","40.905779456",
"2020",	07014,"El Bosque","16.326958564",
"2020",	07015,"Cacahoatán","20.3727596474",
"2020",	07016,"Catazajá","37.0612095012",
"2020",	07017,"Cintalapa","19.887382133",
"2020",	07018,"Coapilla","21.500972663",
"2020",	07019,"Comitán de Domínguez","22.8617337558",
"2020",	07020,"La Concordia","26.2852318269",
"2020",	07021,"Copainalá","10.0901265206",
"2020",	07022,"Chalchihuitán","28.8015136831",
"2020",	07023,"Chamula","13.6741195034",
"2020",	07024,"Chanal","29.2673772707",
"2020",	07025,"Chapultenango","14.6781467815",
"2020",	07026,"Chenalhó","11.3564191744",
"2020",	07027,"Chiapa de Corzo","24.9889366559",
"2020",	07028,"Chiapilla","22.7160085908",
"2020",	07029,"Chicoasén","19.5158566335",
"2020",	07030,"Chicomuselo","25.8000571838",
"2020",	07031,"Chilón","4.9093616523",
"2020",	07032,"Escuintla","18.2036993315",
"2020",	07033,"Francisco León","17.9780033841",
"2020",	07034,"Frontera Comalapa","25.2683275778",
"2020",	07035,"Frontera Hidalgo","29.888548207",
"2020",	07036,"La Grandeza","1.9422572178",
"2020",	07037,"Huehuetán","20.9932633701",
"2020",	07038,"Huixtán","29.2900542356",
"2020",	07039,"Huitiupán","27.1755789145",
"2020",	07040,"Huixtla","21.9837532239",
"2020",	07041,"La Independencia","22.1932709096",
"2020",	07042,"Ixhuatán","27.0468588788",
"2020",	07043,"Ixtacomitán","16.2550554496",
"2020",	07044,"Ixtapa","43.3846427945",
"2020",	07045,"Ixtapangajoya","16.7431192661",
"2020",	07046,"Jiquipilas","30.5062529006",
"2020",	07047,"Jitotol","13.7027854066",
"2020",	07048,"Juárez","25.539064511",
"2020",	07049,"Larráinzar","10.2054727822",
"2020",	07050,"La Libertad","38.2193897258",
"2020",	07051,"Mapastepec","23.8380603788",
"2020",	07052,"Las Margaritas","7.4565061974",
"2020",	07053,"Mazapa de Madero","15.589108272",
"2020",	07054,"Mazatán","25.8377536162",
"2020",	07055,"Metapa","23.9814337287",
"2020",	07056,"Mitontic","4.1061369701",
"2020",	07057,"Motozintla","8.6481882889",
"2020",	07058,"Nicolás Ruíz","27.8038379531",
"2020",	07059,"Ocosingo","23.1055317721",
"2020",	07060,"Ocotepec","10.9729807416",
"2020",	07061,"Ocozocoautla de Espinosa","18.7600764479",
"2020",	07062,"Ostuacán","20.7739939602",
"2020",	07063,"Osumacinta","13.2603715958",
"2020",	07064,"Oxchuc","13.0423529847",
"2020",	07065,"Palenque","38.7627136323",
"2020",	07066,"Pantelhó","16.9010244225",
"2020",	07067,"Pantepec","26.1622292959",
"2020",	07068,"Pichucalco","17.0890136302",
"2020",	07069,"Pijijiapan","26.2106005966",
"2020",	07070,"El Porvenir","5.8114421761",
"2020",	07071,"Villa Comaltitlán","23.3587469833",
"2020",	07072,"Pueblo Nuevo Solistahuacán","31.3419871941",
"2020",	07073,"Rayón","30.5647497655",
"2020",	07074,"Reforma","43.8112869023",
"2020",	07075,"Las Rosas","19.131122783",
"2020",	07076,"Sabanilla","3.118441711",
"2020",	07077,"Salto de Agua","19.7509941819",
"2020",	07078,"San Cristóbal de las Casas","24.5823108612",
"2020",	07079,"San Fernando","10.6349095615",
"2020",	07080,"Siltepec","21.0564061002",
"2020",	07081,"Simojovel","22.905770598",
"2020",	07082,"Sitalá","22.6698933874",
"2020",	07083,"Socoltenango","30.7067243762",
"2020",	07084,"Solosuchiapa","11.6829094367",
"2020",	07085,"Soyaló","31.5872703498",
"2020",	07086,"Suchiapa","27.1420096825",
"2020",	07087,"Suchiate","30.8667570075",
"2020",	07088,"Sunuapa","17.2942206655",
"2020",	07089,"Tapachula","21.286682494",
"2020",	07090,"Tapalapa","10.8769544528",
"2020",	07091,"Tapilula","27.0062556604",
"2020",	07092,"Tecpatán","25.7279053855",
"2020",	07093,"Tenejapa","14.7469990961",
"2020",	07094,"Teopisca","28.0328863001",
"2020",	07096,"Tila","20.8007981728",
"2020",	07097,"Tonalá","25.2447915076",
"2020",	07098,"Totolapa","23.0576441103",
"2020",	07099,"La Trinitaria","28.2749419919",
"2020",	07100,"Tumbalá","14.5614973262",
"2020",	07101,"Tuxtla Gutiérrez","14.6574692581",
"2020",	07102,"Tuxtla Chico","24.1296284367",
"2020",	07103,"Tuzantán","25.7798861017",
"2020",	07104,"Tzimol","16.9903598645",
"2020",	07105,"Unión Juárez","15.6649720353",
"2020",	07106,"Venustiano Carranza","31.5662226454",
"2020",	07107,"Villa Corzo","27.6019835394",
"2020",	07108,"Villaflores","27.5079617293",
"2020",	07109,"Yajalón","7.1564311493",
"2020",	07110,"San Lucas","43.3793011113",
"2020",	07111,"Zinacantán","32.596026192",
"2020",	07112,"San Juan Cancuc","12.1796410379",
"2020",	07113,"Aldama","20.8458128669",
"2020",	07114,"Benemérito de las Américas","26.1417949684",
"2020",	07115,"Maravilla Tenejapa","24.4020142677",
"2020",	07116,"Marqués de Comillas","15.837424648",
"2020",	07117,"Montecristo de Guerrero","9.9318752241",
"2020",	07118,"San Andrés Duraznal","20.3101550775",
"2020",	07119,"Santiago el Pinar","34.3014931479",
"2020",	07120,"Capitán Luis Ángel Vidal","11.5040075436",
"2020",	07121,"Rincón Chamula San Pedro","54.8003692592",
"2020",	07122,"El Parral","25.4014109396",
"2020",	07123,"Emiliano Zapata","31.4631266227",
"2020",	07124,"Mezcalapa","12.8671081028",
"2020",	07125,"Honduras de la Sierra","ND",
"2020",	08,"Chihuahua","NA",
"2020",	08001,"Ahumada","15.7339318654",
"2020",	08002,"Aldama","7.7212824423",
"2020",	08003,"Allende","6.1661877395",
"2020",	08004,"Aquiles Serdán","14.3292713035",
"2020",	08005,"Ascensión","20.1454749076",
"2020",	08006,"Bachíniva","9.9401829697",
"2020",	08007,"Balleza","50.1095461659",
"2020",	08008,"Batopilas","40.6573116691",
"2020",	08009,"Bocoyna","18.3122656007",
"2020",	08010,"Buenaventura","13.3746545651",
"2020",	08011,"Camargo","7.0751181255",
"2020",	08012,"Carichí","26.1319207971",
"2020",	08013,"Casas Grandes","18.3750218261",
"2020",	08014,"Coronado","9.797979798",
"2020",	08015,"Coyame del Sotol","2.3493360572",
"2020",	08016,"La Cruz","6.8496949529",
"2020",	08017,"Cuauhtémoc","15.5679179686",
"2020",	08018,"Cusihuiriachi","8.7876972239",
