"Serie","cvegeo","Entidad_federativa","Periodo","tam_loc_sexo|Nacional","tam_loc_sexo|Urbana","tam_loc_sexo|Rural","tam_loc_sexo|Hombres","tam_loc_sexo|Mujeres",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	00,"Estados_Unidos_Mexicanos","2024","15.06","14.71","16.14","15.11","15.01",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	01,"Aguascalientes","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	02,"Baja_California","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	03,"Baja_California_Sur","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	04,"Campeche","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	05,"Coahuila_de_Zaragoza","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	06,"Colima","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	07,"Chiapas","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	08,"Chihuahua","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	09,"Ciudad_de_México","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	10,"Durango","2024","ND","ND","ND","ND","ND",
"Prevalencia_del_retraso_en_el_crecimiento_(estatura_para_la_edad,_desviación_típica_<_-2_de_la_mediana_de_los_patrones_de_crecimiento_infantil_de_la_Organización_Mundial_de_la_Salud_(OMS))_entre_la_población_menor_a_5_años",	11,"Guanajuato","2024","ND","ND","ND","ND","ND",
