"Serie","cvegeo","Entidad_federativa","Periodo","Menores_de_5_años-desnutrición|Nacional/Total","Menores_de_5_años-desnutrición|Urbana","Menores_de_5_años-desnutrición|Rural","Menores_de_5_años-desnutrición|Hombres","Menores_de_5_años-desnutrición|Mujeres",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	00,"Estados_Unidos_Mexicanos","2024","1,620,977","1,181,150","439,827","815,852","805,125",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	01,"Aguascalientes","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	02,"Baja_California","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	03,"Baja_California_Sur","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	04,"Campeche","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	05,"Coahuila_de_Zaragoza","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	06,"Colima","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	07,"Chiapas","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	08,"Chihuahua","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	09,"Ciudad_de_México","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	10,"Durango","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	11,"Guanajuato","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	12,"Guerrero","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	13,"Hidalgo","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	14,"Jalisco","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	15,"México","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	16,"Michoacán_de_Ocampo","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	17,"Morelos","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	18,"Nayarit","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	19,"Nuevo_León","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	20,"Oaxaca","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	21,"Puebla","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	22,"Querétaro","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	23,"Quintana_Roo","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	24,"San_Luis_Potosí","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	25,"Sinaloa","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	26,"Sonora","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	27,"Tabasco","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	28,"Tamaulipas","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	29,"Tlaxcala","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	31,"Yucatán","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	32,"Zacatecas","2024","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	00,"Estados_Unidos_Mexicanos","2023","1,698,739","1,197,889","500,850","798,873","899,867",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	01,"Aguascalientes","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	02,"Baja_California","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	03,"Baja_California_Sur","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	04,"Campeche","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	05,"Coahuila_de_Zaragoza","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	06,"Colima","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	07,"Chiapas","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	08,"Chihuahua","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	09,"Ciudad_de_México","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	10,"Durango","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	11,"Guanajuato","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	12,"Guerrero","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	13,"Hidalgo","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	14,"Jalisco","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	15,"México","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	16,"Michoacán_de_Ocampo","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	17,"Morelos","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	18,"Nayarit","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	19,"Nuevo_León","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	20,"Oaxaca","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	21,"Puebla","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	22,"Querétaro","2023","ND","ND","ND","ND","ND",
"Total_de_niños_y_niñas_menores_de_5_años_con_algún_tipo_de_desnutrición_(emaciación,_insuficiencia_ponderal_o_retraso_en_el_crecimiento)",	23,"Quintana_Roo","2023","ND","ND","ND","ND","ND",
