"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	00,"Estados_Unidos_Mexicanos","2022","16.234029047 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	01,"Aguascalientes","2022","15.1666439775 a/ ","14.8558183055 a/ ","14.0652834889 a/ ","15.4482813548 a/ ","18.6416218217 a/ ","14.3954943297 a/ ","7.7791223382 a/ ","ND b/ ","17.3310960782 a/ ","14.4779215472 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	02,"Baja_California","2022","8.8345414167 a/ ","8.7494741332 a/ ","8.4836531731 a/ ","8.9181501198 a/ ","10.6368679229 a/ ","8.2013783069 a/ ","7.4647317525 c/ ","ND b/ ","9.8490807378 a/ ","8.7132641443 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	03,"Baja_California_Sur","2022","13.6744121922 a/ ","13.4757361791 a/ ","12.6918943583 a/ ","13.8689221737 a/ ","15.6905872736 a/ ","13.03980575 a/ ","13.1149766909 a/ ","ND b/ ","13.6909443233 a/ ","13.6715725324 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	04,"Campeche","2022","20.0404406814 a/ ","20.3603826823 a/ ","17.5633914422 a/ ","19.7299107097 a/ ","22.7753894198 a/ ","19.964891982 a/ ","15.7438601003 a/ ","24.0591801212 a/ ","23.241411996 a/ ","18.6707486897 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	05,"Coahuila_de_Zaragoza","2022","12.5805192091 a/ ","12.5387062172 a/ ","11.8672538616 a/ ","12.6211346819 a/ ","15.1033157234 a/ ","11.69282871 a/ ","9.6081588835 a/ ","ND b/ ","20.1888070855 a/ ","11.7889045961 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	06,"Colima","2022","13.2552827475 a/ ","13.0021158551 a/ ","12.1522977382 a/ ","13.49537897 a/ ","15.7750750161 a/ ","13.1729373872 a/ ","7.9224011713 c/ ","ND b/ ","13.5359880621 a/ ","13.2213719151 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	07,"Chiapas","2022","17.2168777337 a/ ","17.5984861071 a/ ","16.1299808247 a/ ","16.874002499 a/ ","20.3076751094 a/ ","15.2700691405 a/ ","14.4360435281 a/ ","20.0874788309 a/ ","18.1586633314 a/ ","16.1146239639 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	08,"Chihuahua","2022","9.3421964954 a/ ","9.8873325311 a/ ","8.5594809505 a/ ","8.8198142504 a/ ","11.7319507914 a/ ","8.4900152318 a/ ","7.5785946585 a/ ","31.1387436451 a/ ","13.4087860043 a/ ","8.647825091 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	09,"Ciudad_de_México","2022","9.7126027822 a/ ","9.8252248337 a/ ","10.3951250763 a/ ","9.6151320742 a/ ","12.5756774831 a/ ","9.1242289572 a/ ","6.5703984781 c/ ","ND b/ ","15.0153566147 a/ ","9.6772986005 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	10,"Durango","2022","19.7799310144 a/ ","19.8930230293 a/ ","18.8841226462 a/ ","19.6740760082 a/ ","22.4932320422 a/ ","19.2198981722 a/ ","14.0776848795 a/ ","46.2840811798 c/ ","23.2037873579 a/ ","18.1809616828 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	11,"Guanajuato","2022","17.2338301071 a/ ","17.3463297794 a/ ","14.936862113 a/ ","17.1297962798 a/ ","20.2106992859 a/ ","16.6227079733 a/ ","14.3548939302 a/ ","ND b/ ","17.7114106519 a/ ","17.02195575 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	12,"Guerrero","2022","28.4488600072 a/ ","28.5244022436 a/ ","27.804243053 a/ ","28.3808227869 a/ ","30.6674450121 a/ ","27.8244535714 a/ ","24.756043223 a/ ","39.182498764 a/ ","28.9252524437 a/ ","28.0739175445 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	13,"Hidalgo","2022","15.1728910835 a/ ","14.7931636886 a/ ","12.8949998582 a/ ","15.5127593358 a/ ","17.6345127932 a/ ","14.8620172526 a/ ","13.3074262645 a/ ","21.6807935228 c/ ","16.4897491118 a/ ","13.9354313912 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	14,"Jalisco","2022","13.2226577273 a/ ","13.3577401975 a/ ","10.6881739945 a/ ","13.0970994872 a/ ","17.1850566152 a/ ","12.9318606195 a/ ","7.9078289309 a/ ","ND b/ ","10.4286323731 a/ ","13.7436705623 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	15,"México","2022","16.989638579 a/ ","16.6036515948 a/ ","16.932245378 a/ ","17.3492610625 a/ ","20.6437016488 a/ ","15.8910106731 a/ ","11.6962244579 a/ ","24.1128213219 c/ ","21.4651659131 a/ ","16.1939218366 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	16,"Michoacán_de_Ocampo","2022","20.9462317819 a/ ","21.3294412382 a/ ","20.2934655396 a/ ","20.6033069289 a/ ","23.8252080136 a/ ","20.0661949534 a/ ","16.7877905564 a/ ","37.9951363134 a/ ","19.8702066266 a/ ","21.479470607 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	17,"Morelos","2022","17.6354127327 a/ ","17.8624429224 a/ ","16.349323954 a/ ","17.433483472 a/ ","21.577903954 a/ ","16.6332607751 a/ ","13.4764780016 a/ ","16.5955711999 c/ ","20.9212761787 a/ ","16.5768122254 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	18,"Nayarit","2022","16.6292371673 a/ ","17.0981255314 a/ ","14.6897897365 a/ ","16.1832622877 a/ ","20.8214338138 a/ ","15.823698179 a/ ","10.6549027717 a/ ","49.0590477006 c/ ","19.5281300729 c/ ","15.1600797145 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	19,"Nuevo_León","2022","10.9526500248 a/ ","10.6381651064 a/ ","9.9823949225 a/ ","11.2605331366 a/ ","14.4835839985 a/ ","9.9479343575 a/ ","8.3640332924 a/ ","ND b/ ","15.0297324292 a/ ","10.6061075536 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	20,"Oaxaca","2022","23.1039754308 a/ ","23.3174483401 a/ ","22.6960938829 a/ ","22.9173089519 a/ ","24.9748150814 a/ ","22.111642512 a/ ","22.0008468394 a/ ","25.8746194321 a/ ","24.2426611286 a/ ","21.7575106161 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	21,"Puebla","2022","19.1267233255 a/ ","19.0458212843 a/ ","18.2495871856 a/ ","19.1993364307 a/ ","21.3406494872 a/ ","17.8197292518 a/ ","18.8963782235 a/ ","20.7407150165 a/ ","23.8525456299 a/ ","17.0952264028 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	22,"Querétaro","2022","11.3661958229 a/ ","11.1536652895 a/ ","12.0350139053 a/ ","11.5640027836 a/ ","12.9134203287 a/ ","10.6609461375 a/ ","7.9992673485 a/ ","24.6640245916 c/ ","14.6566186834 a/ ","9.8646029125 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	23,"Quintana_Roo","2022","12.6952347616 a/ ","12.5356713118 a/ ","10.9764913923 a/ ","12.8536059072 a/ ","16.0639703738 a/ ","12.1157930673 a/ ","8.0319420232 c/ ","14.7163975532 a/ ","17.8513490764 c/ ","11.8812676557 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	24,"San_Luis_Potosí","2022","13.1897513309 a/ ","13.3822923143 a/ ","12.3875205137 a/ ","13.0152464296 a/ ","14.5031240754 a/ ","12.7438017667 a/ ","12.662643021 a/ ","21.704901799 c/ ","17.0731048351 a/ ","10.9977881878 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa).",	25,"Sinaloa","2022","17.1124826866 a/ ","17.4820152172 a/ ","15.3194157397 a/ ","16.774186745 a/ ","20.3520424953 a/ ","16.3629975753 a/ ","14.8618733428 a/ ","46.1142361878 c/ ","22.9374191678 a/ ","14.8675131231 a/ ",
