"Serie","cvegeo","Entidad_federativa","Periodo","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Total","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Hombres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Mujeres","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_indígena","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Niñas,_niños_y_adolescentes_(0_a_17_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Jóvenes_(18_a_29_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_(30_a_64_años)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Personas_adultas_mayores_(65_años_o_más)","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_rural","Población_con_inseguridad_alimentaria_con_desglose_geográfico|Población_urbana",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	00,"Estados_Unidos_Mexicanos","2020","20.743959207 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01,"Aguascalientes","2020","17.452728622 a/ ","16.9444650869 a/ ","17.9185764501 a/ ","ND b/ ","21.5720659625 a/ ","15.4171735929 a/ ","16.265517452 a/ ","13.0829317233 a/ ","18.180101053 a/ ","17.280067324 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01001,"Aguascalientes","2020","NA","15.333763 a/ ","16.183019 a/ ","ND b/ ","19.324574 a/ ","14.680071 a/ ","14.441291 a/ ","11.626189 c/ ","22.201735 a/ ","15.341356 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01002,"Asientos","2020","NA","29.106246 a/ ","27.942412 a/ ","ND","30.666189 a/ ","26.403395 a/ ","27.774576 a/ ","27.503057 a/ ","34.995738 a/ ","16.889415 c/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01003,"Calvillo","2020","NA","21.508672 a/ ","18.79184 a/ ","ND b/ ","22.499995 a/ ","18.79187 a/ ","19.514547 a/ ","17.62631 c/ ","21.176592 c/ ","19.395421 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01004,"Cosío","2020","NA","24.647517 a/ ","25.275122 a/ ","ND","27.037389 a/ ","23.301918 a/ ","23.774856 a/ ","25.19465 a/ ","27.688053 a/ ","22.291246 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01005,"Jesús_María","2020","NA","17.998925 a/ ","17.863572 a/ ","ND","20.737328 a/ ","19.237873 a/ ","15.172027 a/ ","16.080488 c/ ","22.682859 c/ ","15.998444 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01006,"Pabellón_de_Arteaga","2020","NA","17.104067 a/ ","16.169188 a/ ","ND b/ ","20.604938 a/ ","16.398472 a/ ","14.606603 a/ ","9.672031 c/ ","ND b/ ","14.862919 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01007,"Rincón_de_Romos","2020","NA","22.57704 a/ ","25.018748 a/ ","ND b/ ","27.233522 a/ ","23.389828 a/ ","20.701437 a/ ","22.469787 a/ ","30.404402 a/ ","20.827085 a/ ",
"Porcentaje_de_población_con_inseguridad_alimentaria_moderada_o_severa,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01008,"San_José_de_Gracia","2020","NA","10.762218 a/ ","10.284562 a/ ","ND","11.998757 a/ ","9.692397 a/ ","9.751037 a/ ","8.448276 c/ ","9.936872 a/ ","11.100363 c/ ",
