"Serie","cvegeo","Entidad_federativa","Periodo","Densidad_del_personal_sanitario|Número_de_personal_sanitario","Densidad_del_personal_sanitario|Número_de_médicos","Densidad_del_personal_sanitario|Número_de_enfermeros_y_parteros","Densidad_del_personal_sanitario|Número_de_dentistas","Densidad_del_personal_sanitario|Número_de_personal_farmacéutico",
"Densidad_y_distribución_del_personal_sanitario",	00,"Estados_Unidos_Mexicanos","2022","56.55","25.61","29.98","0.9","0.05",
"Densidad_y_distribución_del_personal_sanitario",	01,"Aguascalientes","2022","63.11","28.13","34.4","0.58","0",
"Densidad_y_distribución_del_personal_sanitario",	02,"Baja_California","2022","47.32","22.5","24.25","0.56","0.02",
"Densidad_y_distribución_del_personal_sanitario",	03,"Baja_California_Sur","2022","61.19","29.31","31.2","0.67","0",
"Densidad_y_distribución_del_personal_sanitario",	04,"Campeche","2022","62.61","25.96","35.42","1.2","0.03",
"Densidad_y_distribución_del_personal_sanitario",	05,"Coahuila_de_Zaragoza","2022","56.99","23.86","32.59","0.49","0.05",
"Densidad_y_distribución_del_personal_sanitario",	06,"Colima","2022","69.88","31.94","37.17","0.77","0",
"Densidad_y_distribución_del_personal_sanitario",	07,"Chiapas","2022","42.46","14.9","26.79","0.71","0.06",
"Densidad_y_distribución_del_personal_sanitario",	08,"Chihuahua","2022","62.92","27.84","34.38","0.7","0",
"Densidad_y_distribución_del_personal_sanitario",	09,"Ciudad_de_México","2022","112.31","48.55","61.99","1.59","0.18",
"Densidad_y_distribución_del_personal_sanitario",	10,"Durango","2022","51.97","22.9","27.99","1.03","0.05",
"Densidad_y_distribución_del_personal_sanitario",	11,"Guanajuato","2022","48.72","20.66","27.35","0.66","0.05",
"Densidad_y_distribución_del_personal_sanitario",	12,"Guerrero","2022","54.14","21.42","31.05","1.64","0.03",
"Densidad_y_distribución_del_personal_sanitario",	13,"Hidalgo","2022","49.58","20.87","27.64","0.98","0.09",
"Densidad_y_distribución_del_personal_sanitario",	14,"Jalisco","2022","61.6","31.32","29.61","0.65","0.01",
"Densidad_y_distribución_del_personal_sanitario",	15,"México","2022","40.96","18.09","22.05","0.8","0.02",
"Densidad_y_distribución_del_personal_sanitario",	16,"Michoacán_de_Ocampo","2022","44.54","19.72","23.6","1.09","0.13",
"Densidad_y_distribución_del_personal_sanitario",	17,"Morelos","2022","46.13","19.92","25.42","0.78","0",
"Densidad_y_distribución_del_personal_sanitario",	18,"Nayarit","2022","60.23","25.67","33.3","1.25","0.01",
"Densidad_y_distribución_del_personal_sanitario",	19,"Nuevo_León","2022","81.05","49.56","30.98","0.48","0.02",
