"Serie","Periodo","Quintiles_de_Ingreso|Total_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|Total_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|Total_Cobertura_geografica|Rural","Quintiles_de_Ingreso|I_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|I_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|I_Cobertura_geografica|Rural","Quintiles_de_Ingreso|II_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|II_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|II_Cobertura_geografica|Rural","Quintiles_de_Ingreso|III_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|III_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|III_Cobertura_geografica|Rural","Quintiles_de_Ingreso|IV_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|IV_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|IV_Cobertura_geografica|Rural","Quintiles_de_Ingreso|V_Cobertura_geografica|Nacional","Quintiles_de_Ingreso|V_Cobertura_geografica|Urbana","Quintiles_de_Ingreso|V_Cobertura_geografica|Rural",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2024","1.83","1.38","3.69","4.26","3.84","5.9","1.79","2.44","3.42","1.4","1.78","2.59","0.94","1.43","1.87","0.74","0.98","1.64",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2022","1.9","1.46","3.39","4.32","3.3","5.69","1.65","1.43","2.25","1.35","1.22","1.87","1.22","1.07","2.09","0.98","0.94","1.38",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2020","2.61","2.23","3.97","5.4","5.21","5.3","2.75","2.55","3.32","1.91","1.65","3.03","1.63","1.48","2.57","1.35","1.27","2.18",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2018","1.59","1.17","3.01","3.81","3.14","3.78","1.45","1.14","2.24","1.08","0.92","1.74","0.83","0.69","1.7","0.79","0.73","1.63",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2016","1.49","1.18","2.59","3.55","3.14","4.2","1.44","1.19","2.12","0.99","1.01","0.9","0.72","0.69","0.98","0.74","0.68","1.59",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2014","1.59","1.26","2.75","3.81","3.44","4.05","1.73","1.67","1.92","0.67","0.56","1.17","0.75","0.66","1.38","0.97","0.91","2",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2012","1.44","1.11","2.64","2.96","2.16","4.57","1.75","1.66","2","1.52","1.43","1.94","0.52","0.45","1.16","0.47","0.45","0.81",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2010","1.95","1.59","3.28","5.13","4.99","5.68","1.65","1.46","2.18","1.14","0.99","1.97","1.08","1.1","0.9","0.77","0.78","0.62",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2008","2.01","1.47","3.96","4.86","4.02","5.66","2.5","2.11","3.61","1.07","0.88","2.16","0.9","0.93","0.62","0.66","0.66","0.73",
"Porcentaje_de_hogares_con_gasto_catastrófico_en_salud","2006","2.26","1.68","4.27","4.27","2.8","6.15","2.36","1.97","3.47","1.48","1.13","3.05","1.84","1.73","2.67","1.34","1.26","2.31",
