"Serie","Periodo","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Total_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Menor_de_1_año_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|01-04_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|05-14_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|15_a_24_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|25-44_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|45-64_años_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|65_años_y_mas_Tipos_de_Tuberculosis|Tuberculosis_respiratoria","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Todas_las_formas","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_meníngea","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Edad__Tuberculosis|Edad_desconocida_Tipos_de_Tuberculosis|Tuberculosis_respiratoria",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2024","19.64","0.41","3.38","15.85","3.45","0.2","0.89","2.37","2.26","0.33","0.8","1.14","2.74","0.07","1.12","1.56","15.53","0.36","2.89","12.27","22.47","0.64","4.36","17.47","32.27","0.48","4.31","27.48","36.05","0.27","5.4","30.38","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2023","19.39","0.42","3.28","15.69","2.83","0.39","0.59","1.86","2.63","0.26","0.97","1.39","2.17","0.05","0.88","1.23","15.15","0.36","2.79","12","22.25","0.64","4.41","17.19","32.75","0.52","4.36","27.87","36.35","0.37","4.74","31.24","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2022","18.51","0.44","3.12","14.95","2.41","0.29","0.53","1.59","2.38","0.42","0.72","1.24","2.17","0.06","0.87","1.24","14.1","0.38","2.67","11.05","21.27","0.64","4.2","16.42","31.83","0.56","4.2","27.08","35.76","0.39","4.62","30.76","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2021","15.8","0.37","3.03","12.4","3.91","0.91","0.95","2.05","1.89","0.17","0.75","0.98","2.01","0.13","0.89","0.99","13.1","0.35","2.56","10.2","18.75","0.5","4","14.26","26.67","0.45","4.1","22.11","27.94","0.33","4.73","22.89","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2020","13.06","0.28","2.48","10.29","3.31","0.38","0.71","2.23","1.39","0.14","0.73","0.52","1.53","0.1","0.68","0.75","11.18","0.24","2.32","8.62","16.08","0.46","3.38","12.24","21.96","0.27","3.16","18.53","21.76","0.27","3.71","17.78","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2019","19.22","0.39","3.26","15.56","2.69","0.14","0.76","1.79","2.09","0.16","0.93","0.99","1.88","0.07","0.9","0.91","15","0.34","2.84","11.83","23.09","0.59","4.36","18.14","33.45","0.56","4.48","28.41","37.7","0.31","5.12","32.26","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2018","17.57","0.37","3.27","13.94","4.62","0.19","1.32","3.11","2.17","0.08","0.96","1.13","1.99","0.07","0.79","1.13","14.01","0.31","2.88","10.82","20.91","0.55","4.4","15.96","30.35","0.56","4.41","25.38","35.86","0.29","5.44","30.13","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2017","17.39","0.34","3.34","13.71","4.44","0.42","1.12","2.9","1.94","0.13","0.82","1","1.85","0.07","0.83","0.95","13.93","0.27","2.74","10.93","20.52","0.5","4.51","15.5","31.15","0.51","4.87","25.77","35.92","0.28","5.6","30.05","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2016","17.14","0.3","3.15","13.69","4.32","0","1.61","2.71","1.95","0.13","1","0.82","2.2","0.1","0.98","1.12","13.94","0.22","2.67","11.05","20.51","0.51","4.23","15.77","30.34","0.34","4.46","25.54","35.92","0.34","4.93","30.66","ND","ND","ND","ND",
"Incidencia_de_la_tuberculosis_por_cada_100,000_habitantes,_por_grupos_de_edad_y_según_el_tipo_de_tuberculosis_(1990-2024)","2015","16.8","0.23","3.12","13.45","4.2","0.18","1.31","2.71","2.2","0.1","1.09","1.01","2.1","0.03","0.94","1.14","13.42","0.17","2.61","10.65","20.34","0.39","4.24","15.71","29.68","0.32","4.35","25.02","37.13","0.25","5.19","31.69","ND","ND","ND","ND",
