"Serie","cvegeo","Entidad_federativa","Periodo","Tipos_de_Tuberculosis|Todas_las_formas","Tipos_de_Tuberculosis|Tuberculosis_meníngea","Tipos_de_Tuberculosis|Tuberculosis_otras_formas","Tipos_de_Tuberculosis|Tuberculosis_respiratoria",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	00,"Estados_Unidos_Mexicanos","2024","19.64","0.41","3.38","15.85",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	01,"Aguascalientes","2024","6.86","0.13","2.03","4.71",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	02,"Baja_California","2024","60.1","1.06","14.37","44.67",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	03,"Baja_California_Sur","2024","31.26","0.11","4.29","26.86",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	04,"Campeche","2024","21.58","0.1","3.98","17.49",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	05,"Coahuila_de_Zaragoza","2024","19.2","0.27","2.68","16.25",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	06,"Colima","2024","28.59","0.39","3.94","24.27",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	07,"Chiapas","2024","28.98","0.38","2.31","26.29",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	08,"Chihuahua","2024","23.7","0.45","3.55","19.69",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	09,"Ciudad_de_México","2024","9.85","0.34","2.57","6.94",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	10,"Durango","2024","13.17","0.78","3.81","8.57",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	11,"Guanajuato","2024","6.91","0.32","2.53","4.06",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	12,"Guerrero","2024","32.58","0.28","2.77","29.53",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	13,"Hidalgo","2024","6.83","0.12","1.38","5.33",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	14,"Jalisco","2024","15.11","0.63","4.9","9.58",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	15,"México","2024","6.19","0.26","1.45","4.48",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	16,"Michoacán_de_Ocampo","2024","6.9","0.08","1.2","5.62",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	17,"Morelos","2024","11.2","0.34","2.54","8.32",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	18,"Nayarit","2024","37.27","0.92","7.41","28.94",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	19,"Nuevo_León","2024","31.42","0.63","3.22","27.57",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	20,"Oaxaca","2024","16.76","0.28","2.65","13.83",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	21,"Puebla","2024","8.74","0.27","1.55","6.92",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	22,"Querétaro","2024","11.59","0.46","3.76","7.37",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	23,"Quintana_Roo","2024","28.04","0.44","3.11","24.5",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	24,"San_Luis_Potosí","2024","18.74","0.78","5.18","12.79",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	25,"Sinaloa","2024","46.66","0.63","8.97","37.05",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	26,"Sonora","2024","43.93","0.64","6.56","36.73",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	27,"Tabasco","2024","34.25","0.41","3.94","29.9",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	28,"Tamaulipas","2024","40.24","0.32","3.79","36.13",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	29,"Tlaxcala","2024","3.01","0","0.77","2.24",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	30,"Veracruz_de_Ignacio_de_la_Llave","2024","30.14","0.48","3.44","26.22",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	31,"Yucatán","2024","12.36","0.32","1.69","10.35",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	32,"Zacatecas","2024","9.72","0.53","3.89","5.3",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	00,"Estados_Unidos_Mexicanos","2023","19.39","0.42","3.28","15.69",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	01,"Aguascalientes","2023","8.01","0.13","2.52","5.36",
"Incidencia_de_la_tuberculosis_por_cada_100,000,_habitantes,_por_entidad_federativa_y_según_tipo_de_tuberculosis_(1990-2024)",	02,"Baja_California","2023","57.65","1.12","12.69","43.83",
