"Serie","cvegeo","Entidad_federativa","Periodo","Grupos_Poblacionales|Total","Grupos_Poblacionales|Hombres","Grupos_Poblacionales|Mujeres","Grupos_Poblacionales|Población_indígena","Grupos_Poblacionales|Niñas,_niños_y_adolescentes_(0_a_17_años)","Grupos_Poblacionales|Jóvenes_(18_a_29_años)","Grupos_Poblacionales|Personas_adultas_(30_a_64_años)","Grupos_Poblacionales|Personas_adultas_mayores_(65_años_o_más)","Grupos_Poblacionales|Población_rural","Grupos_Poblacionales|Población_urbana",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	00,"Estados_Unidos_Mexicanos","2022","39.0912088798 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	01,"Aguascalientes","2022","26.1939774447 a/ ","27.9403425201 a/ ","24.6116059615 a/ ","ND b/ ","27.7220164433 a/ ","33.2434803574 a/ ","23.1833880614 a/ ","17.2406258929 a/ ","35.020674136 a/ ","23.3853479561 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	02,"Baja_California","2022","28.4100970374 a/ ","30.2462244476 a/ ","26.6054522316 a/ ","41.3154660429 c/ ","30.9424506967 a/ ","30.0414868175 a/ ","27.3139118257 a/ ","21.9286282903 a/ ","31.2196305308 a/ ","28.0742475028 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	03,"Baja_California_Sur","2022","17.3366896881 a/ ","18.9927853603 a/ ","15.7153206383 a/ ","22.3494907059 c/ ","16.190106272 a/ ","22.0685266236 a/ ","17.0565443133 a/ ","10.9123002882 a/ ","20.2883157528 a/ ","16.829700356 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	04,"Campeche","2022","34.5696286695 a/ ","36.3526846075 a/ ","32.8390265342 a/ ","39.1142988616 a/ ","36.4010759543 a/ ","37.5690513923 a/ ","33.4884309894 a/ ","26.4472161502 a/ ","47.5841246994 a/ ","29.0007405927 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	05,"Coahuila_de_Zaragoza","2022","19.677330459 a/ ","20.9295692558 a/ ","18.4609556344 a/ ","ND b/ ","21.7954468423 a/ ","25.4049090268 a/ ","17.3931783077 a/ ","10.665778222 a/ ","28.6854501188 a/ ","18.7400684528 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	06,"Colima","2022","21.9358378526 a/ ","24.3800331502 a/ ","19.6178331071 a/ ","59.8427775958 c/ ","21.1780610451 a/ ","25.5509318144 a/ ","22.3811040715 a/ ","14.4978038067 a/ ","34.7545639433 a/ ","20.3872612872 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	07,"Chiapas","2022","66.0662029381 a/ ","67.2491604317 a/ ","65.0033152853 a/ ","72.821192295 a/ ","70.0470318404 a/ ","67.9146210435 a/ ","62.4830852347 a/ ","60.6440686178 a/ ","73.2570264734 a/ ","57.650155412 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	08,"Chihuahua","2022","21.4914432491 a/ ","23.9289022758 a/ ","19.1557229247 a/ ","35.6302776611 a/ ","23.8583042909 a/ ","25.8174832897 a/ ","19.5132582816 a/ ","13.6036625245 a/ ","34.268838407 a/ ","19.3096991118 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Entidad_federativa)",	09,"Ciudad_de_México","2022","28.7459230788 a/ ","32.0534958508 a/ ","25.8833268541 a/ ","42.6042718595 a/ ","29.3582361205 a/ ","35.3794698581 a/ ","30.0824941282 a/ ","14.4276928195 a/ ","41.6253636024 a/ ","28.6601755366 a/ ",
