"Serie","cvegeo","Entidad_federativa","Periodo","Grupos_Poblacionales|Total","Grupos_Poblacionales|Hombres","Grupos_Poblacionales|Mujeres","Grupos_Poblacionales|Población_indígena","Grupos_Poblacionales|Niñas,_niños_y_adolescentes_(0_a_17_años)","Grupos_Poblacionales|Jóvenes_(18_a_29_años)","Grupos_Poblacionales|Personas_adultas_(30_a_64_años)","Grupos_Poblacionales|Personas_adultas_mayores_(65_años_o_más)","Grupos_Poblacionales|Población_rural","Grupos_Poblacionales|Población_urbana",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	00,"Estados_Unidos_Mexicanos","2020","28.1508289527 a/ ","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01,"Aguascalientes","2020","20.2022904886 a/ ","22.1226043256 a/ ","18.4422310544 a/ ","ND b/ ","19.4277376663 a/ ","27.07082026 a/ ","18.1739350426 a/ ","14.4373577942 a/ ","20.08710466 a/ ","20.2296329253 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01001,"Aguascalientes","2020","NA","21.625084 a/ ","18.499701 a/ ","35.688388 c/ ","19.495895 a/ ","24.649247 a/ ","19.040906 a/ ","13.676305 a/ ","33.045771 c/ ","19.150152 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01002,"Asientos","2020","NA","18.213594 a/ ","14.750413 a/ ","15.515592 c/ ","14.194195 a/ ","21.594253 a/ ","15.432202 a/ ","18.128884 a/ ","18.113115 a/ ","13.506513 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01003,"Calvillo","2020","NA","24.806131 a/ ","17.281861 a/ ","ND b/ ","18.00018 a/ ","27.528948 a/ ","21.096933 a/ ","17.669477 a/ ","16.877034 a/ ","24.05445 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01004,"Cosío","2020","NA","19.887405 a/ ","15.384112 a/ ","ND","16.989111 a/ ","24.14081 a/ ","15.108304 a/ ","13.512292 c/ ","15.467311 a/ ","19.671591 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01005,"Jesús_María","2020","NA","22.120761 a/ ","20.040744 a/ ","ND b/ ","19.196606 a/ ","26.666697 a/ ","20.200272 a/ ","18.756149 c/ ","13.725051 c/ ","24.069629 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01006,"Pabellón_de_Arteaga","2020","NA","22.779975 a/ ","19.434073 a/ ","ND b/ ","19.329556 a/ ","28.912 a/ ","19.35072 a/ ","15.61161 c/ ","29.215001 a/ ","17.843006 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01007,"Rincón_de_Romos","2020","NA","25.073342 a/ ","19.721305 a/ ","ND b/ ","19.881739 a/ ","28.757162 a/ ","20.792374 a/ ","23.08175 a/ ","23.409924 a/ ","21.870343 a/ ",
"Porcentaje_de_la_población_que_presenta_carencia_por_acceso_a_los_servicios_de_salud,_por_desglose_geográfico_y_grupo_poblacional_(Municipio_o_demarcación_territorial)",	01008,"San_José_de_Gracia","2020","NA","ND b/ ","ND b/ ","ND b/ ","ND b/ ","ND b/ ","ND b/ ","ND b/ ","ND b/ ","7.32769 a/ ",
